category,path,added,removed,kind,previous_path
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/intake.go,96,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/legacy.go,52,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/memory.go,128,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/objectives.go,128,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/operations.go,69,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/orchestration_profiles.go,37,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/orchestrators.go,107,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/persona_schema.go,19,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/profile_deletion.go,32,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/repository.go,14,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/repository_test.go,63,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/role_migration.go,107,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/role_migration_test.go,48,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/roles.go,36,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/run_recovery.go,18,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/runtime_status.go,13,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/assistant.go,104,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/assistant_authority_test.go,127,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/assistant_intake_privacy_test.go,62,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/assistant_memory.go,132,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/assistant_privacy_test.go,137,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/automation.go,55,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/automation_test.go,36,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context.go,166,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context_dispatch_test.go,71,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context_safety_test.go,77,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context_scope.go,28,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context_test.go,62,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/context_validation.go,84,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/credentials.go,169,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/credentials_test.go,92,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/delegation.go,54,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/events.go,151,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/global_roles_test.go,26,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/handler.go,419,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/handler_test.go,90,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/intake.go,92,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/intake_recovery_test.go,100,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/intake_test.go,180,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/intent.go,110,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/memory.go,74,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/migration_test.go,57,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/objective_completion.go,71,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/objectives.go,152,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/objectives_test.go,114,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/operations.go,106,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/operations_test.go,156,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/private_turn.go,28,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/recovery.go,81,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/service.go,234,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/service_test.go,144,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/runtime/task_context.go,19,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/assistant_activity.go,13,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/assistant_activity_test.go,18,0,test,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/conversation_context.go,35,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/conversation_context_test.go,35,0,test,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/dispatch_guard.go,27,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/dispatchcontext/context.go,30,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/event_handlers_agent.go,6,1,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/event_handlers_workflow.go,11,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/dispatch_guard.go,48,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/dispatch_guard_test.go,45,0,test,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/executor.go,4,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/executor_execute.go,11,2,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/executor_interaction.go,8,2,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/executor/executor_resume.go,5,2,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/messagequeue/assistant_context_test.go,23,0,test,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/messagequeue/dispatch_context.go,51,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/messagequeue/merge.go,3,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/messagequeue/send_now.go,3,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/messagequeue/service.go,15,10,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/orchestration_profile.go,19,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/orchestration_profile_test.go,19,0,test,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/persona_session_terminator.go,14,9,source_or_docs,apps/backend/internal/orchestrator/office_session_terminator.go
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/queue_send_now.go,7,0,source_or_docs,
B6 Core task execution and message queue context,apps/backend/internal/orchestrator/task_operations.go,24,2,source_or_docs,
B7 Database portability and conformance,apps/backend/internal/persistence/requiredstores/catalog.go,7,1,source_or_docs,
B7 Database portability and conformance,apps/backend/internal/persistence/requiredstores/catalog_test.go,1,1,test,
B7 Database portability and conformance,apps/backend/internal/persistence/storeconformance/adapters.go,5,0,source_or_docs,
B7 Database portability and conformance,apps/backend/internal/persistence/storeconformance/orchestration_actions.go,118,0,source_or_docs,
B7 Database portability and conformance,apps/backend/internal/persistence/storeconformance/owner_actions.go,14,12,source_or_docs,
B7 Database portability and conformance,apps/backend/internal/persistence/storeconformance/suite_test.go,1,1,test,
